date,round,white_id,black_id,white_elo,black_elo,white_title,black_title,result
2019-09-10,1.1,9100075,8603677,1954.0,2811.0,FM,GM,0-1
2019-09-10,1.1,24116068,10207791,2780.0,2250.0,GM,FM,1-0
2019-09-10,1.1,8504580,623539,2284.0,2774.0,IM,GM,0-1
2019-09-10,1.1,5202213,6501311,2767.0,2387.0,GM,IM,1-0
2019-09-10,1.1,4902980,4168119,2407.0,2776.0,,GM,0-1
2019-09-10,1.1,13300474,10600140,2758.0,2431.0,GM,GM,1/2-1/2
2019-09-10,1.1,13100050,13401319,2428.0,2767.0,IM,GM,0-1
2019-09-10,1.1,3503240,4400801,2763.0,2504.0,GM,GM,1-0
2019-09-10,1.1,12809390,4126025,2503.0,2759.0,IM,GM,0-1
2019-09-10,1.1,13400924,7200595,2758.0,2533.0,GM,GM,1-0
2019-09-10,1.1,24105074,24101605,2540.0,2746.0,GM,GM,1/2-1/2
2019-09-10,1.1,8603820,12500739,2763.0,2544.0,GM,GM,1-0
2019-09-10,1.1,7101384,14109603,2550.0,2760.0,GM,GM,0-1
2019-09-10,1.1,2016192,696358,2745.0,2540.0,GM,GM,1/2-1/2
2019-09-10,1.1,2107660,4158814,2558.0,2741.0,GM,GM,1/2-1/2
2019-09-10,1.1,1118358,1512668,2739.0,2558.0,GM,GM,0-1
2019-09-10,1.1,3503321,5007003,2552.0,2746.0,GM,GM,0-1
2019-09-10,1.1,1170546,3409350,2730.0,2587.0,GM,GM,1-0
2019-09-10,1.1,3518736,4102142,2581.0,2729.0,GM,GM,1/2-1/2
2019-09-10,1.1,4152956,1506102,2732.0,2550.0,GM,GM,1/2-1/2
2019-09-10,1.1,22291482,8603405,2560.0,2721.0,GM,GM,1/2-1/2
2019-09-10,1.1,12401137,13500139,2708.0,2577.0,GM,GM,1/2-1/2
2019-09-10,1.1,24131423,309095,2577.0,2724.0,GM,GM,1/2-1/2
2019-09-10,1.1,8601445,8608288,2721.0,2576.0,GM,GM,1/2-1/2
2019-09-10,1.1,4127870,8602883,2599.0,2726.0,GM,GM,1/2-1/2
2019-09-10,1.1,2004887,13402129,2705.0,2593.0,GM,GM,1/2-1/2
2019-09-10,1.1,14204118,4168003,2608.0,2716.0,GM,GM,1/2-1/2
2019-09-10,1.1,4147235,4101286,2718.0,2586.0,GM,GM,1/2-1/2
2019-09-10,1.1,110973,5029465,2600.0,2718.0,GM,GM,1/2-1/2
2019-09-10,1.1,4122356,3805662,2681.0,2596.0,GM,GM,1-0
2019-09-10,1.1,4150120,2047640,2596.0,2707.0,GM,GM,0-1
2019-09-10,1.1,12573981,13301578,2702.0,2599.0,GM,GM,1-0
2019-09-10,1.1,3801497,24126055,2576.0,2699.0,GM,GM,0-1
2019-09-10,1.1,10601457,12521213,2699.0,2642.0,GM,GM,1/2-1/2
2019-09-10,1.1,108049,409561,2602.0,2688.0,GM,GM,0-1
2019-09-10,1.1,1710400,4173708,2691.0,2606.0,GM,GM,1/2-1/2
2019-09-10,1.1,5072786,400041,2609.0,2694.0,GM,GM,1/2-1/2
